id,name,definition,example,category
1,"Agenten-Kurzschluss","Die Tendenz zu glauben, dass die Welt von mächtigen, unsichtbaren Akteuren kontrolliert wird.","Den Glauben, dass eine Pechsträhne das Werk eines Fluchs oder einer böswilligen Entität ist, anstatt des Zufalls.","not_enough_meaning"
2,"Ambiguitätseffekt","Die Tendenz, Optionen zu meiden, bei denen fehlende Informationen die Wahrscheinlichkeit 'unbekannt' erscheinen lassen.","Bei der Wahl einer Investition eine Aktie mit bekannter, stabiler Historie einer neuen Aktie mit unbekanntem Potenzial vorzuziehen, auch wenn die neue Aktie eine höhere Rendite haben könnte.","not_enough_meaning"
3,"Anker-Kurzschluss","Die Tendenz, sich bei Entscheidungen zu stark auf die erste angebotene Information (den 'Anker') zu verlassen.","Ein Gebrauchtwagenhändler bietet einen hohen Preis an, um die Verhandlungen zu beginnen; der endgültige Preis erscheint im Vergleich dazu vernünftiger, auch wenn er immer noch über dem tatsächlichen Wert des Autos liegt.","too_much_information"
4,"Anekdotischer Trugschluss","Die Verwendung einer persönlichen Erfahrung oder eines Einzelfalls anstelle eines fundierten Arguments oder überzeugender Beweise.","'Mein Großvater hat eine Schachtel pro Tag geraucht und wurde 90, also ist Rauchen nicht so schlimm für dich.'","not_enough_meaning"
5,"Anthropomorphismus","Die Tendenz, nicht-menschlichen Entitäten menschliche Züge, Emotionen oder Absichten zuzuschreiben.","Zu glauben, Ihr Auto sei 'wütend' auf Sie, wenn es nicht anspringt, oder zu denken, Ihr Hund fühle sich 'schuldig', nachdem er sich schlecht benommen hat.","not_enough_meaning"
6,"Aufmerksamkeitsverzerrung","Unsere Wahrnehmung wird überproportional von dem beeinflusst, was gerade unsere Aufmerksamkeit in Anspruch nimmt, was dazu führt, dass wir andere relevante Informationen vernachlässigen.","Eine Person, die versucht, mit dem Rauchen aufzuhören, wird überall andere Leute rauchen sehen, was es viel schwieriger macht, das Verlangen zu ignorieren.","too_much_information"
7,"Autoritäts-Kurzschluss","Die Tendenz, der Meinung einer Autoritätsperson eine größere Genauigkeit zuzuschreiben und sich stärker von dieser Meinung beeinflussen zu lassen.","Der Empfehlung eines Prominenten für ein medizinisches Produkt zu glauben, auch wenn dieser keine medizinische Expertise hat.","not_enough_meaning"
8,"Automatisierungs-Kurzschluss","Die Tendenz, sich übermäßig auf automatisierte Systeme zu verlassen, was dazu führen kann, dass fehlerhafte automatisierte Informationen korrekte Entscheidungen außer Kraft setzen.","Einem GPS-Navigationssystem an einen gefährlichen oder falschen Ort zu folgen und ihm mehr zu vertrauen als dem eigenen gesunden Menschenverstand.","not_enough_meaning"
9,"Verfügbarkeitskaskade","Ein sich selbst verstärkender Prozess, bei dem ein kollektiver Glaube durch seine zunehmende Wiederholung im öffentlichen Diskurs immer mehr an Plausibilität gewinnt.","Eine kleine Nachricht über eine seltene Krankheit kann zu einer weit verbreiteten Panik führen, da immer mehr Menschen darüber sprechen, wodurch die Bedrohung bedeutender erscheint, als sie ist.","too_much_information"
10,"Verfügbarkeitskurzschluss","Wir überschätzen die Bedeutung von Informationen, die leicht abrufbar sind. Wir werden von lebhaften, aktuellen oder emotional aufgeladenen Ereignissen beeinflusst.","Nachdem Sie mehrere Nachrichtenberichte über Haiangriffe gesehen haben, beginnen Sie zu glauben, dass diese viel häufiger sind, als sie tatsächlich sind, obwohl Autounfälle statistisch weitaus gefährlicher sind.","too_much_information"
11,"Bumerang-Effekt","Die Reaktion auf widerlegende Beweise durch die Stärkung der eigenen früheren Überzeugungen.","Wenn eine Person mit wissenschaftlichen Beweisen konfrontiert wird, die ihren politischen Überzeugungen widersprechen, könnte sie noch überzeugter davon werden, dass ihre ursprüngliche Überzeugung richtig ist.","need_to_act_fast"
12,"Mitläufereffekt","Die Tendenz, Dinge zu tun oder zu glauben, weil viele andere Menschen dasselbe tun oder glauben.","In eine 'Meme-Aktie' zu investieren, nur weil sie populär ist und viele andere dies tun, ohne ihren fundamentalen Wert zu recherchieren.","not_enough_meaning"
13,"Basisraten-Missachtung","Wir neigen dazu, allgemeine statistische Informationen (Basisraten) zugunsten spezifischer, beschreibender Informationen (Anekdoten) zu ignorieren.","Sie lesen eine lebhafte Geschichte über eine Person, die im Lotto gewonnen hat, also kaufen Sie ein Los und ignorieren die astronomischen Gewinnchancen (die Basisrate).","too_much_information"
14,"Überzeugungs-Kurzschluss","Die Tendenz, die Stärke von Argumenten auf der Grundlage der Plausibilität ihrer Schlussfolgerung zu beurteilen, anstatt darauf, wie stark sie diese Schlussfolgerung stützen.","Ein schlecht begründetes Argument wie 'Alle Blumen brauchen Licht, und Rosen brauchen Licht, also sind Rosen Blumen' zu akzeptieren, weil die Schlussfolgerung offensichtlich wahr ist, obwohl die Logik fehlerhaft ist.","not_enough_meaning"
15,"Ben-Franklin-Effekt","Eine Person, die jemandem einen Gefallen getan hat, ist wahrscheinlicher, dieser Person einen weiteren Gefallen zu tun, als wenn sie einen Gefallen von dieser Person erhalten hätte.","Wenn Sie möchten, dass jemand Sie mag, bitten Sie ihn, Ihnen einen kleinen Gefallen zu tun. Sein Gehirn wird rationalisieren, dass er Sie mögen muss, sonst hätte er nicht geholfen.","need_to_act_fast"
16,"Berkson-Paradoxon","Die Tendenz, statistische Experimente mit bedingten Wahrscheinlichkeiten falsch zu interpretieren.","Eine falsche Beobachtung, dass zwei wünschenswerte Merkmale negativ korreliert sind. Zum Beispiel könnte man in einer Krankenhauspopulation beobachten, dass Patienten mit Krankheit A seltener Krankheit B haben, was zu einer falschen Schlussfolgerung über die Beziehung der Krankheiten in der Allgemeinbevölkerung führt.","not_enough_meaning"
17,"Verzerrungs-blinder Fleck","Die Tendenz, sich selbst als weniger voreingenommen als andere Menschen zu sehen oder mehr kognitive Verzerrungen bei anderen als bei sich selbst identifizieren zu können.","Zu glauben, dass man in seinen politischen Ansichten objektiv und rational ist, während man Anhänger der gegnerischen Partei als völlig voreingenommen und unlogisch ansieht.","not_enough_meaning"
18,"Bizarreness-Effekt","Bizarre, ungewöhnliche oder überraschende Informationen werden besser erinnert als gewöhnliche und erwartete Informationen.","In einer Wortliste erinnern Sie sich eher an 'Schnabeltier' und 'Zeppelin' als an 'Stuhl' und 'Tisch'.","too_much_information"
19,"Wahl-stützende Verzerrung","Die Tendenz, sich an die eigenen Entscheidungen als besser zu erinnern, als sie tatsächlich waren.","Wenn Sie sich an eine frühere Entscheidung wie die Wahl einer Universität erinnern, erinnern Sie sich eher an die positiven Aspekte Ihrer Wahl und die negativen Aspekte der Alternativen.","too_much_information"
20,"Cluster-Illusion","Die Tendenz, Muster in zufälligen Ereignissen zu sehen. Sie ist zentral für den Spieler-Trugschluss.","Eine 'Glückssträhne' bei einem Basketballspieler zu sehen, der mehrere Würfe hintereinander getroffen hat, obwohl jeder Wurf ein unabhängiges Ereignis ist.","not_enough_meaning"
21,"Mitgefühls-Schwund","Die Tendenz, von einer großen Anzahl leidender Menschen weniger berührt zu sein als von einer einzelnen identifizierbaren Person.","Eine große Summe zu spenden, um einem einzelnen Kind zu helfen, dessen Geschichte man in den Nachrichten gesehen hat, aber weniger bereit zu sein, für einen Fonds zu spenden, der Tausenden von anonymen Kindern helfen würde.","too_much_information"
22,"Bestätigungs-Kurzschluss","Die Tendenz, Informationen so zu suchen, zu interpretieren, zu bevorzugen und abzurufen, dass sie die eigenen bereits bestehenden Überzeugungen oder Werte bestätigen oder unterstützen.","Eine Person, die glaubt, eine bestimmte politische Partei sei korrupt, wird hauptsächlich Nachrichten aus Quellen konsumieren, die über die Skandale dieser Partei berichten, während sie positive Nachrichten ignoriert.","too_much_information"
23,"Kongruenz-Kurzschluss","Die Tendenz, Hypothesen ausschließlich durch direktes Testen zu prüfen, anstatt mögliche alternative Hypothesen zu testen.","Wenn Sie glauben, dass ein bestimmter Stifttyp der beste ist, testen Sie ihn möglicherweise nur auf Papier, von dem Sie wissen, dass er gut funktioniert, anstatt ihn auf verschiedenen Oberflächen auszuprobieren, auf denen er möglicherweise versagt.","too_much_information"
24,"Konjunktions-Trugschluss","Die Tendenz anzunehmen, dass spezifische Bedingungen wahrscheinlicher sind als eine einzelne allgemeine.","Zu glauben, es sei wahrscheinlicher, dass eine Frau eine 'feministische Bankangestellte' ist als nur eine 'Bankangestellte', obwohl die erste Kategorie eine Teilmenge der zweiten ist.","not_enough_meaning"
25,"Konservatismus-Verzerrung","Die Tendenz, die eigene Überzeugung nur unzureichend zu revidieren, wenn neue Beweise vorgelegt werden.","Ein Investor hält an einer Aktie fest, die schlecht abschneidet, und glaubt, seine ursprüngliche positive Einschätzung sei trotz zunehmender negativer Nachrichten immer noch gültig.","too_much_information"
26,"Kontext-Effekt","Unsere Kognition und unser Gedächtnis werden durch den Kontext beeinflusst, in dem wir Informationen erhalten. Derselbe Reiz kann je nach den umgebenden Hinweisen unterschiedlich interpretiert werden.","Eine Person könnte einen Wein als angenehmer bewerten, wenn er in einem schicken Restaurant mit eleganter Musik serviert wird, als wenn sie denselben Wein aus einem Plastikbecher bei einem Picknick trinkt.","too_much_information"
27,"Kontrast-Effekt","Die Verstärkung oder Verminderung einer Wahrnehmung, Kognition oder verwandten Leistung als Ergebnis der aufeinanderfolgenden oder gleichzeitigen Exposition gegenüber einem Reiz von geringerem oder größerem Wert in derselben Dimension.","Eine mittelmäßige Präsentation wird viel besser erscheinen, wenn sie auf eine schreckliche folgt, und viel schlechter, wenn sie auf eine exzellente folgt.","too_much_information"
28,"Höflichkeits-Verzerrung","Die Tendenz, eine Meinung abzugeben, die sozial korrekter ist als die eigene wahre Meinung, um niemanden zu beleidigen.","Einem Freund zu sagen, dass man seinen neuen Haarschnitt liebt, auch wenn man ihn heimlich unvorteilhaft findet.","need_to_act_fast"
29,"Kryptomnesie","Eine Gedächtnisverzerrung, bei der eine Person fälschlicherweise erinnert, einen Gedanken, eine Idee, ein Lied oder einen Witz hervorgebracht zu haben, ohne absichtlich Plagiate zu begehen, sondern eine Erinnerung als neue Inspiration erlebt.","Ein Musiker könnte eine Melodie komponieren, von der er glaubt, sie sei originell, nur um später festzustellen, dass sie einem Lied sehr ähnlich ist, das er vor Jahren gehört hat.","what_to_remember"
30,"Hinweis-abhängiges Vergessen","Die Unfähigkeit, Informationen ohne die spezifischen Hinweise abzurufen, die bei der Bildung der Erinnerung vorhanden waren.","Sie gehen in einen Raum, um etwas zu holen, vergessen aber, was es war. Wenn Sie in Ihren ursprünglichen Raum zurückkehren, frischt der Kontext Ihr Gedächtnis auf und Sie erinnern sich.","too_much_information"
31,"Fluch des Wissens","Wenn es besser informierten Menschen extrem schwerfällt, über Probleme aus der Perspektive weniger informierter Menschen nachzudenken.","Ein erfahrener Ingenieur, der Fachjargon verwendet, wenn er einem Anfänger ein Konzept erklärt, und annimmt, dieser habe das gleiche Hintergrundwissen.","not_enough_meaning"
32,"Deklinismus","Der Glaube, dass eine Gesellschaft oder Institution zum Niedergang neigt. Überwiegend ist es die Tendenz, die Vergangenheit in einem günstigeren Licht und die Zukunft in einem negativeren Licht zu sehen.","Darauf zu bestehen, dass Musik und Filme in der Vergangenheit 'so viel besser' waren und dass die zeitgenössische Kultur ein Zeichen des gesellschaftlichen Verfalls ist.","what_to_remember"
33,"Lockvogel-Effekt","Das Phänomen, bei dem Verbraucher dazu neigen, eine spezifische Präferenzänderung zwischen zwei Optionen zu haben, wenn auch eine dritte Option präsentiert wird, die asymmetrisch dominiert wird.","Ein Kino bietet ein kleines Popcorn für 3€ und ein großes für 7€ an. Die meisten Leute kaufen das kleine. Wenn eine mittlere Option für 6,50€ eingeführt wird, kaufen die meisten Leute jetzt das große, weil es wie ein viel besseres Angebot erscheint.","need_to_act_fast"
34,"Standard-Effekt","Wenn man die Wahl zwischen mehreren Optionen hat, die Tendenz, die Standardoption zu bevorzugen.","Die meisten Leute bleiben bei den Standardeinstellungen ihres Telefons, auch wenn eine Anpassung vorteilhaft wäre.","need_to_act_fast"
35,"Stückelungs-Effekt","Die Tendenz, mehr Geld auszugeben, wenn es in kleinen Beträgen anstatt in großen Beträgen gestückelt ist.","Es ist wahrscheinlicher, dass Sie vier 5€-Scheine ausgeben als einen einzigen 20€-Schein.","need_to_act_fast"
36,"Dispositionseffekt","Die Tendenz, Vermögenswerte zu verkaufen, die an Wert gewonnen haben, während man Vermögenswerte behält, die an Wert verloren haben.","Ein Investor verkauft eine Aktie, die einen Gewinn von 20% erzielt hat, um 'Gewinne zu sichern', hält aber an einer Aktie fest, die 30% verloren hat, in der Hoffnung, sie werde 'zurückkommen'.","need_to_act_fast"
37,"Unterscheidungs-Verzerrung","Die Tendenz, zwei Optionen als unähnlicher anzusehen, wenn man sie gleichzeitig bewertet, als wenn man sie getrennt bewertet.","Bei der Wahl zwischen zwei Fernsehern in einem Geschäft könnten Sie sich auf winzige, unbedeutende Unterschiede in den Spezifikationen konzentrieren. Zu Hause würden Sie wahrscheinlich keinen Unterschied zwischen ihnen bemerken.","too_much_information"
38,"Dunning-Kruger-Effekt","Die Tendenz von unqualifizierten Personen, ihre eigenen Fähigkeiten zu überschätzen, und die Tendenz von Experten, ihre eigenen Fähigkeiten zu unterschätzen.","Eine Person, die gerade erst eine neue Sprache lernt, könnte glauben, sie sei fast fließend, während ein wahrer Experte sich seiner eigenen Grenzen schmerzlich bewusst ist.","need_to_act_fast"
39,"Dauer-Vernachlässigung","Die Vernachlässigung der Dauer eines Ereignisses bei der Bestimmung seines Wertes.","Sich an einen langen, angenehmen Urlaub aufgrund seiner Höhepunkte und seines Endes zu erinnern, anstatt an seine Gesamtdauer.","what_to_remember"
40,"Egozentrische Verzerrung","Die Tendenz, sich zu stark auf die eigene Perspektive zu verlassen und/oder eine höhere Meinung von sich selbst zu haben als die Realität.","Zu überschätzen, wie sehr Ihre Freunde mit Ihren politischen Meinungen übereinstimmen, oder mehr Anerkennung für den Erfolg eines Gruppenprojekts zu beanspruchen, als objektiv gerechtfertigt ist.","what_to_remember"
41,"Empathie-Lücke","Wir unterschätzen den Einfluss von viszeralen Trieben auf unsere eigenen Einstellungen, Vorlieben und Verhaltensweisen. Es ist schwer vorstellbar, wie wir uns in einem anderen emotionalen oder physiologischen Zustand fühlen würden.","Wenn man nicht hungrig ist, ist es leicht zu entscheiden, dass man zum Abendessen einen gesunden Salat essen wird. Wenn die Essenszeit kommt und man ausgehungert ist, ist das Verlangen nach einem fettigen Burger viel stärker als erwartet.","too_much_information"
42,"Besitztumseffekt","Die Tendenz von Menschen, viel mehr zu verlangen, um ein Objekt aufzugeben, als sie bereit wären, für den Erwerb zu zahlen.","Einen einfachen Kaffeebecher, den Sie kostenlos erhalten haben, auf 10€ zu schätzen, aber nicht bereit zu sein, mehr als 3€ für denselben Becher in einem Geschäft zu bezahlen.","need_to_act_fast"
43,"Essentialismus","Der Glaube, dass Dinge eine Reihe von Eigenschaften haben, die sie zu dem machen, was sie sind, und dass die Aufgabe von Wissenschaft und Philosophie ihre Entdeckung und ihr Ausdruck ist.","Der Glaube, dass es eine 'Essenz' des männlichen oder weiblichen Seins gibt, die festgelegt ist und nicht geändert werden kann.","not_enough_meaning"
44,"Übertriebene Erwartung","Die Tendenz zu glauben, dass ein zukünftiges Ereignis extremer sein wird, als es sich tatsächlich herausstellt.","Zu glauben, dass der Lottogewinn alle Lebensprobleme lösen und ewiges Glück bringen wird.","not_enough_meaning"
45,"Versuchsleiter-Effekt","Eine Form der Reaktivität, bei der die kognitive Voreingenommenheit eines Forschers dazu führt, dass er die Teilnehmer eines Experiments unbewusst beeinflusst.","Ein Lehrer, der von einem Schüler gute Leistungen erwartet, kann ihm unabsichtlich mehr Ermutigung und besseres Feedback geben, was zu besseren Leistungen führt.","too_much_information"
46,"Extrinsische Anreiz-Verzerrung","Die Tendenz, die Motivationen anderer Menschen eher extrinsischen Faktoren (wie Arbeitsbelohnungen) und unsere eigenen Motivationen eher intrinsischen Faktoren (wie Lernen und Freude) zuzuschreiben.","Zu glauben, Ihr Kollege arbeite nur hart für das Gehalt, während Sie glauben, Sie arbeiten hart, weil Sie leidenschaftlich bei der Arbeit sind.","not_enough_meaning"
47,"Falscher Konsens-Effekt","Die Tendenz von Menschen, das Ausmaß zu überschätzen, in dem andere mit ihnen übereinstimmen.","Schockiert zu sein, wenn man herausfindet, dass ein politischer Kandidat, den man unterstützt, die Wahl verloren hat, weil es sich anfühlte, als ob 'jeder', den man kannte, für ihn gestimmt hat.","not_enough_meaning"
48,"Falsche Erinnerung","Ein psychologisches Phänomen, bei dem eine Person sich an etwas erinnert, das nicht passiert ist, oder es anders erinnert, als es tatsächlich passiert ist.","Viele Menschen haben eine falsche Erinnerung daran, Bugs Bunny in Disneyland gesehen zu haben, obwohl Bugs Bunny eine Figur von Warner Bros. ist.","what_to_remember"
49,"Fokussierungseffekt","Die Tendenz, einem Aspekt eines Ereignisses zu viel Bedeutung beizumessen, was zu einem Fehler bei der genauen Vorhersage des Nutzens eines zukünftigen Ergebnisses führt.","Menschen glauben oft, dass das Leben in Kalifornien sie viel glücklicher machen würde, und konzentrieren sich auf das gute Wetter, während sie andere Faktoren wie Verkehr und Lebenshaltungskosten ignorieren.","too_much_information"
50,"Forer-Effekt (Barnum-Effekt)","Die Beobachtung, dass Individuen Beschreibungen ihrer Persönlichkeit hohe Genauigkeitsbewertungen geben, die angeblich speziell auf sie zugeschnitten sind, aber tatsächlich vage und allgemein genug sind, um auf eine breite Palette von Menschen zuzutreffen.","Menschen glauben leicht an vage Horoskopvorhersagen, weil sie leicht Beispiele aus ihrem eigenen Leben finden können, die die Aussagen zu bestätigen scheinen.","not_enough_meaning"
51,"Framing-Effekt","Unterschiedliche Schlussfolgerungen aus denselben Informationen zu ziehen, je nachdem, wie diese Informationen präsentiert werden.","Ein Produkt, das als '90% fettfrei' beworben wird, ist ansprechender als eines, das als '10% Fett' beschrieben wird, obwohl sie dasselbe sind.","need_to_act_fast"
52,"Frequenz-Illusion (Baader-Meinhof-Phänomen)","Nachdem man etwas zum ersten Mal bemerkt hat, gibt es eine Tendenz, es häufiger zu bemerken, was einen zu der Annahme verleitet, dass es häufiger vorkommt.","Sie lernen ein neues Wort und scheinen dieses Wort dann plötzlich überall zu sehen oder zu hören.","too_much_information"
53,"Funktionale Fixierung","Eine kognitive Verzerrung, die eine Person darauf beschränkt, ein Objekt nur so zu verwenden, wie es traditionell verwendet wird.","Einen Hammer zu brauchen, aber nicht zu erkennen, dass man einen schweren Schraubenschlüssel verwenden könnte, um einen Nagel einzuschlagen.","not_enough_meaning"
54,"Fundamentaler Attributionsfehler","Die Tendenz von Menschen, situative Erklärungen für das beobachtete Verhalten einer Person zu unterbetonen, während sie dispositionelle und persönlichkeitsbasierte Erklärungen überbetonen.","Anzunehmen, dass eine Person, die Ihnen im Verkehr den Weg abschneidet, ein egoistischer Idiot ist, anstatt zu bedenken, dass sie sich in einem Notfall befinden könnte.","not_enough_meaning"
55,"Spieler-Trugschluss","Die Tendenz zu denken, dass zukünftige Wahrscheinlichkeiten durch vergangene Ereignisse verändert werden, obwohl sie in Wirklichkeit unverändert sind.","Nachdem eine Münze fünfmal hintereinander auf Kopf gelandet ist, könnte eine Person glauben, dass der nächste Wurf 'fällig' ist, um auf Zahl zu landen.","not_enough_meaning"
56,"Google-Effekt (Digitale Amnesie)","Die Tendenz, Informationen zu vergessen, die leicht online über Internet-Suchmaschinen gefunden werden können.","Es ist weniger wahrscheinlich, dass Sie sich an eine bestimmte Tatsache wie den Geburtstag eines Schauspielers erinnern, weil Sie wissen, dass Sie sie leicht auf Ihrem Telefon nachschlagen können.","what_to_remember"
57,"Gruppen-Attributionsfehler","Die Tendenz zu glauben, dass die Eigenschaften eines einzelnen Gruppenmitglieds die Gruppe als Ganzes widerspiegeln.","Nach einer negativen Interaktion mit einem einzelnen Touristen aus einem bestimmten Land zu dem Schluss zu kommen, dass jeder aus diesem Land unhöflich ist.","not_enough_meaning"
58,"Gruppendenken","Das psychologische Phänomen, das innerhalb einer Gruppe von Menschen auftritt, bei dem der Wunsch nach Harmonie oder Konformität in der Gruppe zu einem irrationalen oder dysfunktionalen Entscheidungsergebnis führt.","In einem Geschäftstreffen einigen sich alle leitenden Manager auf einen riskanten Plan. Jüngere Mitglieder zögern, sich dagegen auszusprechen, aus Angst, die Harmonie zu stören und als nicht zum Team gehörig angesehen zu werden.","need_to_act_fast"
59,"Halo-Effekt","Die Tendenz, dass die positiven oder negativen Eigenschaften einer Person von einem Bereich ihrer Persönlichkeit auf einen anderen in der Wahrnehmung anderer 'überschwappen'.","Anzunehmen, eine körperlich attraktive Person sei auch intelligent, freundlich und witzig.","not_enough_meaning"
60,"Schwer-Leicht-Effekt","Die Tendenz, die eigene Fähigkeit zur Durchführung einer schwierigen Aufgabe zu überschätzen und die eigene Fähigkeit zur Durchführung einer leichten Aufgabe zu unterschätzen.","Ein Student könnte übermütig sein, was seine Fähigkeit betrifft, eine komplexe Forschungsarbeit zu schreiben, aber unterzuversichert sein, was seine Fähigkeit betrifft, ein einfaches Multiple-Choice-Quiz zu bestehen.","need_to_act_fast"
61,"Rückschaufehler","Die Tendenz, vergangene Ereignisse als zum Zeitpunkt ihres Geschehens vorhersagbar anzusehen.","Nach einem Börsencrash könnten die Leute sagen, sie hätten 'die ganze Zeit gewusst, dass es kommen würde', auch wenn sie es nicht taten.","what_to_remember"
62,"Feindselige Attributionsverzerrung","Die Tendenz, das Verhalten anderer als feindselig zu interpretieren, selbst wenn das Verhalten mehrdeutig oder harmlos ist.","Wenn jemand Sie in einem überfüllten Raum anrempelt, nehmen Sie sofort an, dass er es absichtlich getan hat, um aggressiv zu sein.","not_enough_meaning"
63,"Heisse-Hand-Trugschluss","Der Glaube, dass eine Person, die bei einem zufälligen Ereignis Erfolg hatte, eine größere Chance auf weiteren Erfolg bei zusätzlichen Versuchen hat.","Ein Basketballspieler, der seine letzten paar Würfe getroffen hat, wird geglaubt, eine 'heiße Hand' zu haben und wahrscheinlicher seinen nächsten Wurf zu treffen.","not_enough_meaning"
64,"Humor-Effekt","Humorvolle Elemente werden leichter erinnert als nicht-humorvolle.","Es ist wahrscheinlicher, dass Sie sich an die Details einer lustigen Werbung erinnern als an eine ernste, selbst für ein ähnliches Produkt.","too_much_information"
65,"Hyperbolische Diskontierung","Die Tendenz von Menschen, zunehmend eine kleinere, schnellere Belohnung einer größeren, späteren Belohnung vorzuziehen, wenn die Verzögerung früher als später eintritt.","Lieber heute 50€ zu erhalten als in sechs Monaten 100€, auch wenn letzteres finanziell die bessere Wahl ist.","need_to_act_fast"
66,"IKEA-Effekt","Die Tendenz von Menschen, Produkten, die sie teilweise selbst hergestellt haben, einen unverhältnismäßig hohen Wert beizumessen.","Das Gefühl, dass das Bücherregal, das Sie mühsam selbst zusammengebaut haben, wertvoller ist als ein identisches, vormontiertes aus dem Laden.","need_to_act_fast"
67,"Kontrollillusion","Die Tendenz, die eigene Fähigkeit zur Kontrolle von Ereignissen zu überschätzen.","Menschen glauben oft, sie könnten das Ergebnis eines Würfelwurfs beeinflussen, indem sie ihn für eine hohe Zahl härter und für eine niedrige Zahl weicher werfen.","not_enough_meaning"
68,"Illusion der Erklärungstiefe","Die Illusion, dass man ein Thema in weitaus größerem Detail versteht, als man es tatsächlich tut.","Zuversichtlich zu glauben, man wisse, wie ein Reißverschluss funktioniert, aber nicht in der Lage zu sein, den Mechanismus zu erklären, wenn man gefragt wird.","not_enough_meaning"
69,"Illusion der Transparenz","Die Tendenz von Menschen, das Ausmaß zu überschätzen, in dem ihr persönlicher Geisteszustand von anderen bekannt ist.","Zu glauben, dass Ihre Nervosität für das Publikum offensichtlich ist, wenn Sie eine Präsentation halten, obwohl es sie nicht bemerkt.","not_enough_meaning"
70,"Illusion der Gültigkeit","Wir überschätzen unsere Fähigkeit, das Ergebnis bei der Analyse eines Datensatzes genau zu interpretieren und vorherzusagen, insbesondere wenn die analysierten Daten ein sehr konsistentes Muster aufweisen.","Ein Personalverantwortlicher könnte sich zuversichtlich fühlen, den besten Kandidaten auf der Grundlage eines kurzen Interviews auszuwählen, obwohl Studien zeigen, dass unstrukturierte Interviews schlechte Prädiktoren für die Arbeitsleistung sind.","not_enough_meaning"
71,"Scheinkorrelation","Das Phänomen, eine Beziehung zwischen Variablen wahrzunehmen, auch wenn keine solche Beziehung besteht.","Zu glauben, dass es immer regnet, nachdem man sein Auto gewaschen hat.","not_enough_meaning"
72,"Illustre Überlegenheit (Lake-Wobegon-Effekt)","Die menschliche Tendenz, die eigenen Leistungen und Fähigkeiten im Verhältnis zu anderen zu überschätzen.","In einer Umfrage könnten 90% der Fahrer ihre eigenen Fahrkünste als 'überdurchschnittlich' bewerten.","need_to_act_fast"
